City,Latitude,Longitude,Min_GHI,Max_GHI,Avg_GHI,Min_Temp,Max_Temp,Avg_Temp,Min_Humidity,Max_Humidity,Avg_Humidity
Delhi,28.6139,77.209,0.38,7.85,4.59,10.61,41.23,25.51,9.69,91.23,51.0
Mumbai,19.076,72.8777,1.0,7.75,5.02,19.77,36.44,27.2,21.75,94.67,69.07
Bengaluru,12.9716,77.5946,0.99,7.72,5.17,17.56,32.38,24.71,24.91,95.42,68.07
Chennai,13.0827,80.2707,0.52,7.2,5.0,22.36,34.6,28.36,49.91,93.29,74.67
Hyderabad,17.385,78.4867,0.71,7.67,4.89,17.31,36.15,26.44,15.14,92.95,65.22
Ahmedabad,23.0225,72.5714,1.08,8.06,5.15,14.61,38.88,27.39,9.34,93.7,54.51
Kolkata,22.5726,88.3639,0.4,6.98,4.19,13.87,37.25,26.33,34.14,95.65,74.47
Pune,18.5204,73.8567,0.97,7.92,4.86,16.63,33.57,24.24,22.58,96.3,69.7
Jaipur,26.9124,75.7873,0.66,7.87,4.91,10.88,39.17,25.21,8.44,93.18,51.37
Lucknow,26.8467,80.9462,0.53,7.91,4.5,11.76,42.01,25.79,9.45,94.46,56.15
